state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,sales_channel,vehicle_class,vehicle_size,policy_level,renew_offer_type_numeric
California,No,Basic,Bachelor,Unemployed,M,Urban,Married,Personal,Call Center,Four-Door Car,Medsize,3,1
Washington,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate,Agent,Two-Door Car,Small,2,1
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate,Web,Four-Door Car,Medsize,1,3
Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Personal,Branch,Four-Door Car,Medsize,1,1
California,No,Premium,Bachelor,Employed,M,Suburban,Married,Personal,Agent,Four-Door Car,Small,3,1
Oregon,No,Extended,Master,Employed,F,Suburban,Married,Personal,Web,Four-Door Car,Small,3,2
Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal,Agent,Two-Door Car,Small,2,3
Arizona,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal,Call Center,Four-Door Car,Medsize,3,1
Nevada,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Corporate,Call Center,Two-Door Car,Medsize,3,3
Oregon,Yes,Basic,College,Employed,F,Rural,Single,Corporate,Agent,Two-Door Car,Medsize,3,2
California,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Personal,Agent,Four-Door Car,Small,2,2
Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,Agent,Sports Car,Medsize,2,4
Washington,No,Basic,College,Employed,M,Suburban,Married,Special,Call Center,Four-Door Car,Large,2,2
Oregon,No,Premium,Doctor,Disabled,F,Rural,Married,Personal,Branch,SUV,Medsize,2,1
Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal,Call Center,Four-Door Car,Medsize,3,3
Oregon,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal,Agent,Two-Door Car,Medsize,2,4
California,No,Extended,Bachelor,Unemployed,F,Suburban,Married,Corporate,Call Center,Four-Door Car,Medsize,2,2
Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal,Branch,Four-Door Car,Medsize,2,4
Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal,Agent,SUV,Small,2,1
California,Yes,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate,Web,SUV,Medsize,1,1
Nevada,No,Basic,High School or Below,Employed,F,Rural,Married,Special,Branch,Four-Door Car,Medsize,1,4
Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal,Agent,Four-Door Car,Medsize,3,4
California,No,Premium,Bachelor,Disabled,M,Suburban,Married,Personal,Branch,Four-Door Car,Small,2,1
Arizona,No,Extended,College,Employed,F,Suburban,Divorced,Corporate,Call Center,Four-Door Car,Small,3,3
California,No,Basic,College,Employed,M,Urban,Married,Special,Branch,Four-Door Car,Medsize,2,2
Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal,Call Center,SUV,Small,2,1
Oregon,No,Extended,High School or Below,Disabled,F,Suburban,Divorced,Personal,Call Center,SUV,Medsize,3,1
Oregon,No,Premium,Master,Disabled,F,Suburban,Divorced,Personal,Agent,Four-Door Car,Medsize,1,1
Arizona,Yes,Basic,Bachelor,Retired,M,Suburban,Divorced,Personal,Agent,Four-Door Car,Medsize,1,1
California,No,Premium,Bachelor,Medical Leave,F,Suburban,Married,Personal,Call Center,Two-Door Car,Small,3,1
Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal,Agent,Two-Door Car,Small,3,1
California,No,Basic,High School or Below,Employed,F,Rural,Married,Personal,Agent,SUV,Medsize,3,1
Arizona,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal,Branch,Four-Door Car,Large,3,3
Washington,No,Basic,College,Employed,M,Suburban,Married,Personal,Web,Four-Door Car,Medsize,3,3
Oregon,No,Basic,College,Employed,F,Suburban,Divorced,Corporate,Agent,SUV,Medsize,3,1
Arizona,No,Extended,High School or Below,Employed,F,Urban,Married,Personal,Branch,Two-Door Car,Small,3,4
Oregon,Yes,Extended,Bachelor,Unemployed,F,Suburban,Divorced,Personal,Call Center,Two-Door Car,Large,3,1
California,No,Premium,College,Disabled,F,Suburban,Married,Personal,Web,Four-Door Car,Medsize,3,3
Oregon,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal,Agent,SUV,Medsize,3,4
Oregon,No,Basic,Master,Employed,M,Rural,Married,Personal,Web,Two-Door Car,Large,2,2
Oregon,No,Basic,Master,Medical Leave,M,Suburban,Married,Personal,Agent,Four-Door Car,Medsize,1,1
Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal,Agent,Sports Car,Medsize,3,1
Oregon,Yes,Basic,Bachelor,Employed,M,Suburban,Divorced,Personal,Branch,Two-Door Car,Medsize,3,2
Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal,Branch,Four-Door Car,Small,3,2
Oregon,No,Basic,High School or Below,Employed,F,Rural,Single,Personal,Call Center,Four-Door Car,Medsize,1,2
Nevada,No,Basic,College,Employed,M,Suburban,Married,Personal,Agent,Four-Door Car,Medsize,1,2
Washington,No,Extended,College,Employed,M,Rural,Married,Personal,Agent,Four-Door Car,Medsize,3,1
California,No,Basic,Bachelor,Employed,M,Rural,Single,Personal,Branch,Luxury Car,Small,3,2
California,No,Extended,College,Unemployed,F,Rural,Single,Personal,Branch,Two-Door Car,Large,3,3
California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal,Call Center,Four-Door Car,Medsize,3,2
California,No,Basic,Doctor,Employed,M,Suburban,Married,Personal,Branch,SUV,Medsize,1,3
Nevada,No,Basic,Master,Employed,M,Suburban,Married,Personal,Call Center,Four-Door Car,Large,3,2
Oregon,No,Extended,College,Disabled,F,Suburban,Single,Personal,Agent,Four-Door Car,Small,3,2
Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,Call Center,Four-Door Car,Medsize,2,1
California,Yes,Extended,College,Retired,M,Suburban,Married,Personal,Agent,Four-Door Car,Medsize,1,1
California,No,Basic,Bachelor,Employed,F,Urban,Married,Corporate,Web,Four-Door Car,Medsize,2,3
Oregon,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal,Branch,Four-Door Car,Medsize,2,3
California,Yes,Extended,College,Employed,M,Suburban,Married,Personal,Branch,Four-Door Car,Medsize,3,1
Oregon,No,Premium,College,Medical Leave,M,Suburban,Married,Personal,Branch,Two-Door Car,Small,3,2
Washington,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Corporate,Call Center,Two-Door Car,Medsize,3,2
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate,Agent,Four-Door Car,Medsize,3,1
Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate,Branch,Two-Door Car,Small,1,1
California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal,Agent,Four-Door Car,Medsize,2,1
Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal,Branch,Four-Door Car,Large,3,1
Arizona,No,Basic,Master,Medical Leave,F,Rural,Married,Personal,Branch,SUV,Medsize,3,1
California,No,Basic,Bachelor,Medical Leave,M,Suburban,Married,Personal,Agent,Four-Door Car,Medsize,2,1
Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal,Web,Four-Door Car,Medsize,1,3
Oregon,No,Extended,College,Employed,M,Suburban,Married,Personal,Agent,Two-Door Car,Small,2,1
California,Yes,Basic,College,Unemployed,F,Suburban,Married,Personal,Agent,SUV,Medsize,3,1
California,Yes,Basic,College,Unemployed,M,Suburban,Single,Personal,Branch,Four-Door Car,Medsize,1,1
Oregon,No,Basic,Bachelor,Employed,M,Rural,Single,Corporate,Call Center,Two-Door Car,Medsize,3,3
California,Yes,Premium,College,Employed,M,Suburban,Married,Personal,Branch,Four-Door Car,Medsize,3,2
California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal,Web,SUV,Medsize,3,1
Oregon,No,Extended,Bachelor,Employed,F,Rural,Married,Personal,Call Center,Four-Door Car,Small,3,1
California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal,Branch,Four-Door Car,Medsize,1,3
Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal,Agent,SUV,Medsize,1,1
California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal,Agent,Two-Door Car,Medsize,3,1
Oregon,No,Basic,College,Employed,M,Urban,Married,Corporate,Agent,Four-Door Car,Medsize,1,4
California,No,Extended,College,Employed,M,Suburban,Married,Personal,Agent,Four-Door Car,Small,3,4
Washington,No,Extended,High School or Below,Employed,M,Suburban,Divorced,Corporate,Web,Four-Door Car,Small,2,2
Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal,Branch,SUV,Medsize,3,2
Oregon,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal,Agent,Four-Door Car,Medsize,3,1
Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,Branch,Four-Door Car,Medsize,2,4
California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate,Agent,SUV,Medsize,2,1
Oregon,Yes,Extended,High School or Below,Retired,M,Suburban,Divorced,Personal,Agent,SUV,Medsize,3,2
Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal,Branch,Two-Door Car,Medsize,3,2
California,No,Basic,Bachelor,Employed,F,Suburban,Single,Personal,Agent,Two-Door Car,Medsize,2,3
California,No,Extended,College,Employed,F,Urban,Married,Corporate,Call Center,Four-Door Car,Medsize,2,2
Washington,No,Extended,College,Unemployed,M,Suburban,Married,Personal,Web,Two-Door Car,Medsize,2,3
California,No,Basic,Bachelor,Employed,M,Rural,Married,Personal,Call Center,Sports Car,Medsize,3,1
Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal,Branch,Two-Door Car,Small,3,3
California,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal,Web,Luxury SUV,Medsize,3,3
Nevada,No,Basic,Bachelor,Employed,F,Rural,Married,Personal,Agent,Four-Door Car,Medsize,3,1
Oregon,No,Premium,College,Employed,M,Suburban,Divorced,Personal,Call Center,Four-Door Car,Medsize,2,1
Oregon,No,Extended,Master,Employed,F,Rural,Single,Personal,Branch,Four-Door Car,Medsize,3,2
Arizona,No,Extended,College,Employed,M,Urban,Married,Special,Branch,Four-Door Car,Medsize,2,1
Oregon,Yes,Basic,College,Retired,M,Suburban,Divorced,Personal,Web,Four-Door Car,Medsize,2,2
Washington,No,Basic,Master,Unemployed,F,Rural,Married,Personal,Agent,Four-Door Car,Medsize,1,2
Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,Agent,Sports Car,Medsize,3,1
Nevada,No,Basic,Bachelor,Employed,F,Rural,Married,Special,Branch,Four-Door Car,Medsize,2,1
Oregon,No,Basic,Bachelor,Employed,F,Urban,Married,Personal,Call Center,Four-Door Car,Medsize,3,1
Arizona,No,Premium,College,Employed,M,Suburban,Married,Personal,Agent,Four-Door Car,Small,3,1
Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Corporate,Web,Four-Door Car,Small,2,1
Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal,Agent,SUV,Medsize,3,1
Oregon,No,Basic,High School or Below,Employed,F,Rural,Married,Special,Branch,Sports Car,Medsize,2,1
Washington,No,Basic,College,Unemployed,F,Suburban,Single,Personal,Agent,Four-Door Car,Small,2,2
Oregon,No,Extended,College,Employed,F,Urban,Married,Personal,Branch,Four-Door Car,Medsize,3,4
Arizona,No,Extended,Bachelor,Employed,F,Urban,Single,Special,Branch,Four-Door Car,Small,3,3
Oregon,No,Basic,College,Unemployed,M,Suburban,Single,Personal,Web,Two-Door Car,Large,1,4
Arizona,No,Premium,Master,Employed,M,Urban,Married,Personal,Call Center,SUV,Medsize,2,1
California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal,Branch,Sports Car,Medsize,2,3
Washington,No,Premium,High School or Below,Employed,M,Suburban,Married,Corporate,Agent,SUV,Medsize,3,3
Oregon,Yes,Extended,High School or Below,Unemployed,F,Suburban,Married,Personal,Agent,Four-Door Car,Large,1,1
Nevada,No,Extended,Bachelor,Employed,M,Urban,Married,Corporate,Web,Four-Door Car,Medsize,2,4
California,No,Basic,College,Unemployed,F,Suburban,Married,Corporate,Call Center,Four-Door Car,Medsize,3,1
Arizona,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate,Call Center,Two-Door Car,Medsize,2,1
Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Personal,Web,Four-Door Car,Medsize,3,2
Oregon,Yes,Premium,College,Unemployed,M,Suburban,Married,Corporate,Branch,Four-Door Car,Large,2,1
Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal,Branch,Four-Door Car,Small,2,4
Washington,Yes,Basic,High School or Below,Employed,M,Rural,Married,Personal,Agent,Sports Car,Medsize,3,2
Arizona,No,Extended,High School or Below,Disabled,M,Suburban,Married,Personal,Agent,SUV,Medsize,3,4
Arizona,No,Extended,Bachelor,Medical Leave,F,Rural,Married,Personal,Branch,SUV,Medsize,1,1
California,No,Basic,Bachelor,Employed,F,Urban,Single,Personal,Branch,Four-Door Car,Medsize,3,2
California,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,Web,Four-Door Car,Small,2,2
Oregon,No,Extended,College,Employed,M,Rural,Single,Personal,Agent,Four-Door Car,Medsize,2,3
Oregon,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal,Agent,Four-Door Car,Small,2,2
Arizona,Yes,Basic,College,Retired,M,Suburban,Married,Personal,Agent,Sports Car,Medsize,3,2
Arizona,No,Basic,Bachelor,Employed,F,Rural,Married,Personal,Web,Two-Door Car,Large,2,1
California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate,Agent,Two-Door Car,Medsize,3,2
Washington,No,Basic,College,Employed,F,Urban,Married,Personal,Agent,SUV,Medsize,1,1
California,Yes,Basic,College,Unemployed,F,Suburban,Divorced,Personal,Agent,SUV,Medsize,3,1
Washington,Yes,Basic,Bachelor,Retired,F,Suburban,Single,Personal,Branch,Four-Door Car,Medsize,1,1
California,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal,Agent,Four-Door Car,Medsize,3,1
Oregon,No,Basic,Master,Medical Leave,M,Suburban,Married,Personal,Agent,Four-Door Car,Small,3,1
California,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal,Agent,Four-Door Car,Small,3,1
California,Yes,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal,Agent,Four-Door Car,Small,1,1
Oregon,No,Extended,High School or Below,Employed,F,Urban,Divorced,Personal,Agent,Four-Door Car,Medsize,2,3
California,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal,Agent,Four-Door Car,Medsize,2,1
California,No,Basic,College,Medical Leave,M,Suburban,Married,Personal,Branch,Four-Door Car,Medsize,1,4
Oregon,No,Premium,Doctor,Disabled,F,Urban,Divorced,Personal,Agent,Four-Door Car,Medsize,3,2
Nevada,No,Basic,College,Employed,F,Rural,Divorced,Personal,Agent,Four-Door Car,Medsize,3,3
Nevada,No,Basic,College,Unemployed,F,Suburban,Married,Personal,Agent,Four-Door Car,Small,2,3
California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal,Call Center,Four-Door Car,Medsize,2,2
California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal,Call Center,Sports Car,Medsize,2,2
Washington,No,Basic,College,Employed,F,Rural,Married,Personal,Agent,SUV,Medsize,2,2
Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal,Call Center,Two-Door Car,Medsize,3,2
Washington,No,Basic,College,Unemployed,F,Suburban,Single,Personal,Web,Two-Door Car,Medsize,3,3
California,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal,Call Center,Sports Car,Small,2,2
California,No,Premium,Bachelor,Unemployed,F,Suburban,Married,Personal,Agent,Four-Door Car,Medsize,2,1
Nevada,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal,Branch,Luxury Car,Medsize,3,3
Oregon,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,Branch,Four-Door Car,Large,2,2
Nevada,No,Extended,Bachelor,Employed,M,Suburban,Single,Personal,Agent,Four-Door Car,Small,2,4
California,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal,Agent,SUV,Medsize,3,1
California,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal,Call Center,SUV,Small,3,3
California,No,Basic,College,Employed,F,Suburban,Single,Corporate,Branch,SUV,Medsize,3,2
Arizona,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Personal,Agent,SUV,Medsize,1,2
California,No,Extended,Bachelor,Employed,F,Urban,Single,Personal,Branch,Four-Door Car,Medsize,1,3
Oregon,No,Extended,College,Employed,M,Urban,Married,Personal,Branch,Four-Door Car,Medsize,3,3
California,No,Basic,Master,Employed,M,Urban,Married,Special,Web,SUV,Medsize,2,4
California,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Special,Branch,Two-Door Car,Small,3,4
California,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal,Branch,Two-Door Car,Medsize,3,2
Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal,Agent,Two-Door Car,Small,2,4
Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Divorced,Personal,Branch,Four-Door Car,Small,2,1
Washington,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal,Agent,Four-Door Car,Small,3,1
Oregon,No,Premium,High School or Below,Employed,M,Suburban,Single,Corporate,Web,Luxury SUV,Medsize,3,4
Oregon,No,Basic,Bachelor,Employed,M,Rural,Single,Special,Branch,Four-Door Car,Medsize,3,1
Washington,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal,Branch,Two-Door Car,Medsize,1,3
California,Yes,Extended,College,Employed,M,Suburban,Married,Personal,Branch,Four-Door Car,Medsize,1,1
California,No,Premium,Master,Disabled,F,Suburban,Single,Personal,Call Center,SUV,Medsize,1,1
Nevada,Yes,Extended,Bachelor,Retired,F,Suburban,Single,Personal,Agent,SUV,Medsize,3,1
Arizona,No,Basic,High School or Below,Employed,F,Suburban,Married,Corporate,Call Center,Four-Door Car,Medsize,1,2
California,No,Basic,College,Unemployed,M,Suburban,Single,Personal,Agent,SUV,Medsize,2,1
California,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal,Call Center,Four-Door Car,Medsize,2,1
California,No,Basic,College,Unemployed,M,Suburban,Single,Personal,Agent,SUV,Medsize,2,1
California,No,Basic,College,Employed,F,Urban,Married,Personal,Branch,Four-Door Car,Medsize,1,2
California,No,Premium,College,Employed,M,Suburban,Married,Corporate,Branch,SUV,Small,2,1
Oregon,No,Basic,High School or Below,Employed,F,Suburban,Divorced,Corporate,Agent,SUV,Medsize,3,2
Washington,No,Extended,Bachelor,Employed,F,Rural,Married,Personal,Web,Four-Door Car,Medsize,3,3
California,No,Extended,High School or Below,Employed,M,Suburban,Single,Personal,Agent,Two-Door Car,Small,3,2
California,Yes,Basic,College,Retired,M,Suburban,Single,Special,Agent,Four-Door Car,Medsize,3,1
Washington,No,Extended,College,Employed,M,Urban,Married,Corporate,Web,Two-Door Car,Small,3,2
California,No,Basic,High School or Below,Employed,F,Urban,Single,Special,Agent,Four-Door Car,Medsize,3,1
Arizona,No,Basic,College,Employed,M,Suburban,Divorced,Personal,Agent,Four-Door Car,Small,1,4
Oregon,No,Extended,College,Employed,F,Suburban,Married,Corporate,Call Center,Four-Door Car,Large,1,4
Oregon,No,Premium,College,Employed,M,Urban,Married,Corporate,Agent,Sports Car,Small,3,4
Oregon,Yes,Extended,High School or Below,Disabled,F,Suburban,Married,Special,Agent,Two-Door Car,Small,3,1
Washington,Yes,Basic,High School or Below,Unemployed,F,Suburban,Divorced,Personal,Web,Sports Car,Medsize,3,1
California,No,Basic,College,Employed,M,Suburban,Married,Personal,Branch,Four-Door Car,Medsize,1,2
Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal,Branch,Four-Door Car,Medsize,2,3
California,No,Basic,Bachelor,Employed,M,Suburban,Divorced,Personal,Call Center,Four-Door Car,Medsize,2,1
Nevada,No,Basic,High School or Below,Employed,M,Suburban,Divorced,Personal,Call Center,Four-Door Car,Small,1,1
Washington,Yes,Extended,High School or Below,Employed,M,Suburban,Single,Personal,Branch,Two-Door Car,Small,3,2
Oregon,No,Basic,College,Disabled,F,Suburban,Married,Personal,Call Center,SUV,Small,3,2
Oregon,No,Extended,College,Employed,F,Suburban,Married,Personal,Branch,Four-Door Car,Medsize,3,3
Nevada,No,Basic,College,Unemployed,M,Suburban,Single,Personal,Branch,Two-Door Car,Medsize,1,1
Nevada,Yes,Basic,High School or Below,Employed,F,Rural,Single,Corporate,Agent,Four-Door Car,Medsize,3,2
Arizona,No,Basic,High School or Below,Employed,M,Urban,Married,Corporate,Agent,SUV,Small,3,1
California,No,Basic,Bachelor,Disabled,M,Suburban,Married,Corporate,Agent,Four-Door Car,Small,1,1
Arizona,Yes,Basic,Bachelor,Unemployed,F,Suburban,Married,Corporate,Call Center,Four-Door Car,Medsize,1,1
Arizona,Yes,Basic,College,Employed,M,Urban,Single,Personal,Agent,Two-Door Car,Medsize,3,2
Arizona,No,Extended,High School or Below,Employed,M,Urban,Married,Personal,Agent,Four-Door Car,Medsize,2,1
Oregon,No,Premium,Bachelor,Unemployed,F,Suburban,Married,Personal,Web,SUV,Small,3,1
Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal,Call Center,Two-Door Car,Medsize,3,3
California,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal,Branch,Two-Door Car,Small,3,1
California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal,Web,Four-Door Car,Large,2,1
Washington,No,Extended,College,Employed,M,Urban,Divorced,Corporate,Branch,SUV,Large,1,2
Washington,No,Basic,College,Unemployed,M,Suburban,Single,Personal,Agent,Four-Door Car,Small,3,2
Washington,No,Basic,Bachelor,Employed,F,Suburban,Single,Personal,Agent,Four-Door Car,Small,3,2
Nevada,No,Basic,High School or Below,Employed,F,Suburban,Married,Corporate,Agent,Two-Door Car,Small,3,2
Arizona,No,Basic,College,Employed,F,Rural,Married,Personal,Agent,Four-Door Car,Large,1,3
Oregon,No,Basic,College,Unemployed,F,Suburban,Divorced,Corporate,Branch,Four-Door Car,Small,3,1
California,No,Extended,College,Employed,M,Suburban,Married,Personal,Web,Two-Door Car,Large,2,2
California,No,Extended,College,Unemployed,F,Suburban,Single,Personal,Agent,Two-Door Car,Medsize,1,1
California,No,Extended,Bachelor,Disabled,M,Suburban,Divorced,Corporate,Agent,Two-Door Car,Medsize,2,3
Arizona,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal,Agent,Four-Door Car,Medsize,1,4
Arizona,No,Extended,High School or Below,Unemployed,F,Suburban,Married,Personal,Call Center,Four-Door Car,Small,2,4
Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Corporate,Branch,Luxury SUV,Medsize,3,1
California,No,Basic,Master,Employed,M,Suburban,Married,Personal,Call Center,Four-Door Car,Medsize,2,1
Arizona,No,Premium,High School or Below,Retired,F,Suburban,Divorced,Personal,Web,Two-Door Car,Medsize,3,3
Nevada,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal,Call Center,Two-Door Car,Medsize,3,1
Arizona,No,Basic,Doctor,Employed,M,Suburban,Single,Personal,Call Center,SUV,Medsize,3,1
Washington,Yes,Basic,College,Retired,F,Suburban,Divorced,Personal,Agent,SUV,Small,3,1
Oregon,No,Extended,Bachelor,Employed,M,Urban,Married,Personal,Call Center,Four-Door Car,Large,3,4
Nevada,Yes,Extended,High School or Below,Retired,M,Suburban,Divorced,Personal,Agent,SUV,Medsize,3,2
Oregon,No,Extended,Bachelor,Employed,F,Urban,Married,Personal,Agent,SUV,Medsize,3,1
California,No,Basic,Master,Employed,F,Urban,Married,Personal,Call Center,Two-Door Car,Small,3,2
Washington,No,Extended,Bachelor,Employed,M,Suburban,Married,Personal,Branch,Four-Door Car,Medsize,3,3
Oregon,No,Basic,Bachelor,Employed,F,Rural,Divorced,Corporate,Agent,Four-Door Car,Medsize,3,1
